01_SALARIE;X
02_SA+1ESUP=;X
03_COUPLE;X
04_C+1ESUP=;X
1-ASSU;X
2_FAMILLE;X
2-ASSU+1;X
3_FAMILLE;X
3_PERSONNES;x
3_PERSONNES_ET_PLUS;X
3-ASSU+2;X
4_PERSONNES;X
4_PERSONNES_ET_PLUS;X
4_PERSONNES_ET_+;X
3-CPLE;X
4-CPLE;X
4-CPLE+1;X
5-CPLE+1;X
6-CPLE+2;X
ADULTE;X
ADULTE/ENFANT;X
AGE_PAR_AGE_0_100;X
ASSPRI;X
ASSU;X
AUTRE;
AYANT_DROIT;
AYANT_DROIT_PAYANT;
CONJOINT;
COUPLE;X
COUPLE/FAMILLE_123_M;X
COUPLE_ET_1_ENFANT;X
COUPLE_ET_1_ENFANT_OU_PLUS;X
COUPLE_ET_2_ENFANTS;X
COUPLE_ET_2_ENFANTS_OU_PLUS;X
COUPLE_ET_3_ENFANTS;X
CPLE;X
DUO;X
ENFANT;
FAMILLE;X
FAMILLE_EN_PM;X
FAMILLE_EN;x
FAMILLE_OPTION_1;
FAMILLE_OPTION_2;
I/I1/I2+/C/C1/C2+_3;X
IF_AYANTS-DROIT;
IS/IS&1/IS&2/IS&3+/C/C&1/C&2/C&3+;X
IS/IS1/IS2+/C/C1/C2+TA_0-3;X
IS/IS1/IS2+/C/C1/C2+TA_0-30/3;X
ISOLE;X
ISOLE/COUPLE/3_PERS_ET_+;X
ISOLE/COUPLE_+1_OU_2ENF_AVEC_A;X
ISOLE/FAMILL;X
ISOLE/FAMILLE;X
ISOLE/FAMILLE_P;X
ISOLE/FAMILLE_PM;X
ISOLE/FAMILLE_PMS;X
ISOLE_(AE/IF)_EN;X
ISOLE_COUPLE_FAMILLE;X
OPT1_ADULTE/ENFANT;
OPT3_ISOLE/FAMILLE_M;
OPT4_ISOLE/FAMILLE_M;
SALARIE;X
SALARIE_ET_1_ENFANT;X
SALARIE_ET_2_ENFANTS;X
SALARIE_ET_2_ENFANTS_OU_PLUS;X
SALARIE_ET_3_ENFANTS;X
SALARIE_+_ENFANT;x
SALARIE+ENFANTS_/_CONJOINT_;x
